Periodo,Total_Ingresos
1980/01,158343
1980/02,176605
1980/03,177479
1980/04,139780
1980/05,120510
1980/06,124565
1980/07,128002
1980/08,133722
1980/09,95264
1980/10,116754
1980/11,136753
1980/12,173073
1981/01,170650
1981/02,187066
1981/03,168594
1981/04,153938
1981/05,135025
1981/06,138236
1981/07,137696
1981/08,127888
1981/09,99953
1981/10,112729
1981/11,136189
1981/12,205830
1982/01,167513
1982/02,167918
1982/03,164962
1982/04,132690
1982/05,103707
1982/06,94226
1982/07,120333
1982/08,103122
1982/09,67396
1982/10,79805
1982/11,91888
1982/12,129130
1983/01,124821
1983/02,149134
1983/03,170878
1983/04,132578
1983/05,114750
1983/06,120426
1983/07,149844
1983/08,122991
1983/09,91086
1983/10,121575
1983/11,141921
1983/12,206688
1984/01,189546
1984/02,233653
1984/03,231835
1984/04,179310
1984/05,152160
1984/06,150510
1984/07,142015
1984/08,142154
1984/09,101153
1984/10,115821
1984/11,147384
1984/12,207948
1985/01,216671
1985/02,230120
1985/03,237825
1985/04,164037
1985/05,126737
1985/06,133022
1985/07,120025
1985/08,121252
1985/09,74269
1985/10,80164
1985/11,104456
1985/12,159376
1986/01,167953
1986/02,185516
1986/03,222306
1986/04,145563
1986/05,125236
1986/06,134921
1986/07,129801
1986/08,138552
1986/09,87697
1986/10,118451
1986/11,159566
1986/12,213739
1987/01,230491
1987/02,246480
1987/03,259213
1987/04,202421
1987/05,168445
1987/06,161374
1987/07,176648
1987/08,177094
1987/09,124620
1987/10,163437
1987/11,181616
1987/12,222593
1988/01,262626
1988/02,298888
1988/03,321660
1988/04,228832
1988/05,171961
1988/06,174949
1988/07,200200
1988/08,192495
1988/09,133684
1988/10,148283
1988/11,187111
1988/12,271493
1989/01,282557
1989/02,270123
1989/03,332381
1989/04,255103
1989/05,195175
1989/06,209587
1989/07,226451
1989/08,229970
1989/09,181921
1989/10,210529
1989/11,253088
1989/12,362737
1990/01,301333
1990/02,332136
1990/03,375253
1990/04,331702
1990/05,251139
1990/06,248342
1990/07,259297
1990/08,267208
1990/09,196952
1990/10,237484
1990/11,285680
1990/12,373744
1991/01,297935
1991/02,326282
1991/03,414341
1991/04,332402
1991/05,289362
1991/06,322540
1991/07,310039
1991/08,322667
1991/09,218016
1991/10,266974
1991/11,321318
1991/12,438137
1992/01,361975
1992/02,394261
1992/03,398206
1992/04,313992
1992/05,275433
